Age,Etablissement,Classe,Commune de  domicile,Heures_Maths,Auto_eval_Maths,Heures_Sciences,Heures_Francais,Moyenne_Maths,Travail_Parents,Cours_Particuliers,Difficultes_6e,Lieu_Brevet,Changements_Parcours,Projets_BAC,Difficultes_Langue,Langue_Maternelle,Ne_Mayotte,Acces_Internet,Notion_Maths,Expression_Libre
16.0,Lycée de Dembéni,Première,Commune de Chiconi,3h,,4h,3h,5,oui,Non,Non,collège de chiconi,Non,Une fois le BAC obtenu j'aimerais continuer mes études en France pour faire un  BTS en biologie ,Non.,Kibouchi ,Oui ,Oui,Suite arithmétiques je l'aime pas parceque c'est difficile j'y arrives pas a le faire. ,
16.0,Lycée des Lumières,Seconde,Commune de Koungou,7h,,8h,6h,9,non,Non,oui  ,,oui ,Réusire avoir un bon métier pour on avenir,Non,chimaoré,non,non,Les pythagores,
16.0,Lycée de Dembéni,Première,Commune de M'Tsangamouji,30 min,,30 min,30 min,5,Oui,Non ,Non , ,Non ,Faire un BTS de 2ans ,Non ,Le kibushi,Oui ,Oui,f(x)=ax²+bx+c. Oui ,
17.0,Lycée de Dembéni,Première,Commune de Dembeni,4 h,,4 h,3h,6,Non ,Non,Non, ,Non,Continuer dans tous qui est étudie de la science ,Non,"Comorien, mahorais ",Oui,oui,"Delta, c’est facile à faire ",
16.0,Lycée de Dembéni,Première,Commune de Mamoudzou,8H,,6H,4H,7,Oui,Non ,Oui ,Collège De Kwalé,Non,Spécialités : mathématiques et physique-chimie . Mon projet actuel une fois le Bac obtenu est de partir en métropole pour faire des études de médecine .,Non,Mahoraise ,Non ,Non,"Je retiens aujourd'hui toutes les notions en mathématique car cela me permet d'être plus logique dans la vie , de me préparer à la pensée , de raisonner de manière soignée et de plus de résoudre tous les problèmes liés sur les activités de la vie quotidienne . Et c'est ce qui fait que je l'ai aiment autant .",
16.0,Lycée de Dembéni,Première,Commune de Ouangani,6h,,5h,4h,6 ,Oui,Non ,Non ,,Oui,Je prévois de passer le bac s avec les spe : SVT et PHYSIQUE CHIMIE après le bac je vais à l’université pour des études de santé ,Non ,Shimaoré ,Oui,Non,Une partie des équations vu en seconde parceque le prof expliquer bien et la trigonométrie car c’est le chapitre qu’on a fait il y’a à peine une semaine ,
17.0,Lycée des Lumières,Terminale,Commune de Koungou,3 h,,10 h,,5,Oui ,Non,Non, ,Non,J'envisage d'effectuer des études de médecine ,oui ,Shimahorais ,Oui,Oui ,Fonctions,
17.0,Lycée de Dembéni,Première,Commune de Mamoudzou,20 min,,20 min,1h,4,Non,Non,Non,collège de Kwale ,Non,Une fois obtenu mon BAC j'aimerais faire des formations a fini de travailler,Non,Je parle le Chi-mahore & Le Chi-Comores,Non,oui,Je ne sais pas exactement,
17.0,Lycée des Lumières,Terminale,Commune de Koungou,3h,,6h,1h,8.50,Oui ,Non ,Oui ,Koungou Mayotte ,Oui,"Intégré l'université de biologie , Svt et physique chimie ",Oui ,Le shimaoré ,Oui, Oui ,J'aime les mathématiques grâce à l'argent j'aime beaucoup compté etc ,
17.0,Lycée de Dembéni,Première,Commune de M'Tsangamouji,4h,,3h,2h,8,Oui,Non,Non ,College de mtsangamouji ,Non,Étude de médecine.  Physique math svt actuellement et Physique svt plus math complémentaire en terminale ,Non ,Malgache(shibushi),Oui,Oui,"Statistiques, dérivé, identité remarquable, la langues mathématiques, suites, fonction polynôme, etc. J'aime parce que je comprend avant tout et parce que j'aime les maths. Je suis moins emballé par la géométrie , ni trigonométrie etc..",
19.0,Lycée des Lumières,BTS,Commune de Mamoudzou,0,,1h,30 min,7,Oui,Non,oui ,Collège de Chiconi,,Je fais déjà un BTS,Je sais pas ,Chim1oré,Oui,"Oui, 1 ou 2 ça dépend ",Le BFR et le FR,
18.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,0,,4 h,1 h,5,Oui ,Non ,non ,Collège K2,Non,Faire une Licence de géographie. J'ai comme spécialité sciences numérique informatiques et histoire géographie géopolitique et sciences politiques ,Non ,Shimahorais,Oui ,Oui ,Les théorèmes car j'aime la géométrie ,
15.0,Lycée de Mamoudzou Nord,Seconde,Commune de Dembeni,1h,,1h 30,1h,5,Non ,Non ,non , ,Non,Allez dans une école de commerce puis ouvrir mon entreprise. ,Non ,Shimaore ,Oui,Oui,Autre ,
16.0,Lycée de Mamoudzou Nord,Seconde,Commune de Koungou,4h,,1h,4h,4,non,non,non ,collège majicavo,oui,De continuer à l'université. Science économique et sociale ,oui,Le shimaoré ,Oui,Non ,Nombre rationnels ,
16.0,Lycée des Lumières,Première,Commune de Mamoudzou,0,,5h,5h,2,Oui,Non,Non ,,Non  ,Continuer la fac ( Les littérature et la langue )  ,Non,Le shimaoré,Oui,Oui,Aucune notions ,
17.0,Lycée des Lumières,Terminale,Commune de Koungou,0,,30 min,2h,2,Oui,Non,Non,Collègue majicavo ,Non,Devenir enseignant avec la spécialité Humanité littérature et philosophie ,Non,Le shimaorais,Oui,Oui,La géométrie ,
20.0,Lycée des Lumières,BTS,Commune de Mamoudzou,2h,,3h,1h,4,non,Non,oui,collège de passamainty,Oui ,Gestion -Administrative ,Non ,Shimaorée,Oui  ,Non,Oui j'aime la fonction et la marge brut et les calcule.s,
16.0,Lycée des Lumières,Première,Commune de Koungou,0,,3H,2,4,Oui ,Non,oui,Collège de koungou ,Plus je m'améliore plus les matières deviennent difficiles ,Faire un bac+2 et travailler en tant que aide soignante ,Non,chindzouani,Non,Oui,"Y a beaucoup de formules et j'arrive pas à les retenir par cœur , ça m'arrive de les confondre ",
17.0,Lycée des Lumières,Terminale,Commune de Koungou,2h,,6h,2h,8.50,oui,Non ,Non,Koungou  ,Oui ,"Continuer avec une licence , Spécialité Svt et Physique chimie ",Oui ,Shimaoré / Shibouchi,Oui,Oui ,"Les Algorithmes , j'aime les maths car c'est relié à la vie peux importe où nous sommes on a besoin de maths",
16.0,Lycée des Lumières,Seconde,Commune de Koungou,5h,,2h,1h,8,Non,Non,Non,,Non,Maths /physique/ ses,Oui,Shimaore,Oui,Oui,"Les statistiques car on utilise moins le cahier, on utilise beaucoup la calculatrice",
18.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,5 h,,7 h,1 2 h,6,oui ,Non,Non,Collège Kaweni 2,non ,Domaine scientifique ,Non,Français,Oui,Oui,Logarithme népérien. Facile et amusant ,
16.0,Lycée des Lumières,Première,Commune de Koungou,12 h,,8 h,8 h,8,Oui  ,Non ,Non ,collège majicavo lamir ,Oui ,Physique chimie math et svt ,Non ,Shimaorais ,Oui ,Oui ,Énormément de notions comme dans les équations ou d autre c est la manière de procédé afin d obtenir le résultat qui a fait que j ai aimez ses notions ,
18.0,Lycée des Lumières,STMG,Commune de Koungou,1h,,10h,,2,Non,Nn,Nn,Collège k2,oui,Pour suivre me études,Non,Le chimaore,Oui,Non,Ax+by,
16.0,Lycée des Lumières,Seconde,Commune de Koungou,1h,,1h,0h,*5,non,non,non,collège kaweni 1,non,après bac OTM faire 2ans d'études puis travailler ,non,comorien,oui,non ,*je retiens pas les notions ,
15.0,Lycée des Lumières,1st2s,Commune de Koungou,0,,3h ,5,7,Oui,Non,Non,Collègue Frédéric D'achery,non,Mourir,,Shimaoré,Non,Oui,"Les calculs au second degré, je suis perdue",
19.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,0h,,2h,2h,1,oui ,Non ,Non ,,oui ,Travailler ,Non ,Français ,Non ,Oui ,Je déteste les maths ,
17.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,0h,,0h,2h,"1,58",non,Non,Non,Collège de kaweni 1,Non,Être professeur de langues,Oui ,Shimaorais ,Oui,Oui,J’en connais pas,
17.0,Lycée des Lumières,Terminale STMG,Commune de Bandraboua,6 h,,7 h,2 h,5,Non,Non,Non,Au collège K2,Non,BTS Gestion de la PME,Non,Le Shimaore,Oui,,Les ,
18.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,00h,,2h,10h,2,non,Non,oui,Au collège de K1,Non ,J'aimerais faire un BTS ou diplôme d'état pour être assistante sociale dans le public ou privé.,Non,Le chimaoré,Oui,Non,Rien,
17.0,Lycée des Lumières,Seconde,Commune de Koungou,1h,,1h,1h,5,oui ,Non,Nn,Au collège de Koungou ,Oui,Je ne sais pas ,Non,Chimaorai,Nn,,Aucun ,
17.0,Lycée des Lumières,1 std2a,Commune de Koungou,1 h,,0,0,3,Oui,Non,Oui,Oui  ,Oui ,Après le bac je compte faire un DNMADE bijouterie en France . J’ai la spécialité art appliqué ,oui ,Le créole réunionnais ,Oui,Oui ,J’en ai aucune ,
15.0,Lycée des Lumières,Seconde,Commune de Koungou,1 h,,1 h,2 h,4,Oui,Non.,Non.,Au collège de Koungou,Non,Je ne sais pas encore.,oui,Le Shimaoré,Oui,Oui,C'est trop compliquée,
16.0,Lycée des Lumières,Première STMG,Commune de Mamoudzou,5h,,0,2h,9,Non,Non,Non,Collège kaweni 2,Non,Mon projet obtenu une fous après le BAC c'est de continuer mes études. Mon option est le bac technologie,Non,Mahorais,Oui,Oui,Ce qui fait que j'aime les mathématique c'est les chiffres et mes notes,
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,5h,,1h 30,4h,2,Oui,Non,Non,Collège kaweni 2,Non,J'ai pas encore de projet ,Non,Malgache ,Non,Oui,C'est trop dure ,
18.0,Lycée des Lumières,Terminale,Commune de Koungou,3min,,0,2,3,oui,non,non, ,oui ,faire un BTS,non,le comorien,oui,oui,je n'en ai pas en particulier ,
19.0,Lycée de Mamoudzou Nord,T OTM,Commune de Koungou,1H,,0,30min,7,Non,Non,Oui ,,Oui,Bac pro transport. Je continue mes études ,Oui,Le chimahore,Oui,oui,Les suit numérique ,
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,0,,3h,6,6,Non,Non,Non,Collège kaweni 1,Non,"Ma spécialité :histoire &géo, sciences politiques. Allez à la fac",Non,"Swahili, (je parle un peu le lingala)",Non,Non,Les équations  . C'est facile à comprendre ,
20.0,Lycée des Lumières,Terminale,Commune de Koungou,1h,,1h,2h,2,Oui,Non,Non,collèges Frédéric d'achery koungou ,Oui  ,"Pouvoir suivre des études et aller jusqu'à ouvrir mon propre cabinet d'assistant social , je comme spécialites HGGSP et SES et opt",Non ,Langues mahoraise,Non,Oui,Aucune je pense que c'est peut-être la raison qui fait que j'aime pas les mathématiques ,
17.0,Lycée des Lumières,Première,Commune de Koungou,2h,,30 min, 4h,3,Non,Non,Oui,,Oui,Aller dans une école spécialisée (spé: hggsp et nsi),non,le mahorais,non,oui,"Les formules, a cause du prof (c'est pas que j'aime pas, c'est que je ne COMPREND pas)",
17.0,Lycée des Lumières,Terminale,Commune de Koungou,2h,,4h,8h,4,Oui,Non,Non ,Collège Koungou,Oui,Je veux être architecte moderne. J'étudierai en métropole.,,Anjouanais,Non,Oui,"La logiques des démonstrations, c'est siimple mais pour l'être il faut travailler d'avantage.",
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,1h,,2h,1h 30,5,Oui,non,oui,,Oui,St2s,Non,Shimaore,Oui,Oui,Multiplication,
18.0,Lycée des Lumières,Terminale,Commune de Tsingoni,0,,0,0,4,Non,Non,Oui,Collège de Koungou,Non ,Continuer mes études faire au moins une licence en art ,oui ,Langue comorienne ( Anjouan ),Non,non,Aucune ,
15.0,Lycée des Lumières,Seconde,Commune de Koungou,3 h,, 5h,1h 30,9.50,oui,non,oui,Collège de majicavo ( mayotte ) ,Oui,série générale ST2S : sciences santé et sociale  ,non ,le malgache ,oui,oui,"les méthose , ainsi que les différents chapitre que j'aime trop",
17.0,Lycée des Lumières,1 agora,Commune de Mamoudzou,2 h,,0,0,5,non,non,non,,oui,bts sam,oui,chimaorai,oui,non,les suite numérique ,
18.0,Lycée des Lumières,Terminale,Commune de Koungou,0,,2 h,,5,non ,Non,Non,collège de koungou ,Non,Après le Baccalauréat j'aimerais m'orienter vers la comptabilité et gestion des entreprises.  Spécialité sciences de la vie et de la Terre et spécialité Théâtre ,non,C'est le shimaoré,Oui,Oui,Je ne peux répondre a cette question ,
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,5min,,5min,0,6,Non,Non,Non,,Oui,Je sais pas encore,Non,Mahorais,Non,Non,Les équations parce que c'est facile,
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,1h,,30 min,2h,6,Non,Non,Non,collège Kaweni 1,Non, bac pro Accueil,Non,malgache et comorien ,Non,,probabilité ,
17.0,Lycée des Lumières,Première STMG,9 rue zena m'dere,2h,,3h,2h,10,non,Oui ,oui ,,Oui,Management  science de gestion économie ,Non ,Maore,Oui ,Nn ,Le notion arthimetique ,
16.0,Lycée des Lumières,Seconde,Commune de Koungou,3H,,4h,1h,"8 , pourrait être perfectionné , mais fonctionne ",Oui,Non,Non,collège de Majicavo Lamir,Oui,Je ne me suis pas encore réellement décidé,non,le Français,non,oui,"Les équations , elles sont satisfaisantes et exploitent plus la réflexion que les connaissances",
16.0,Lycée des Lumières,Première,Commune de Koungou,1h,,2h 00,1h 30,"4,5",Oui,Non ,Oui, collège de Majicavo,Non ,Mon projet après le bac et de partir en école de gendarmes ,Non,Français ,Oui ,oui," j'aime La trigonométrie,parce que c facile et j'ai compris vite  ",
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,6h,,2h,4h,7,Oui ,Oui,Oui,au collège kaweni 2,Oui,Une fois le bac en poche j'aimerais devenir contrôleur aérienne ou bien ostéopathe qui sont tous deux des metiers opposer. ,non,"Le malgache , l'anjouanais,le maoré et le créole ",Oui,Oui,La nation de mathématiques que j'aime est l'arithmétique et l'algèbre car j'aime beaucoup faire des calculs,
15.0,Lycée des Lumières,Seconde,Commune de Koungou,1h,,1h 30,0,5,Non,non,nn,college majicavo lamir,non,lisence et master,non,Maorai,oui,non,jesais pas,
15.0,Lycée des Lumières,Seconde,Commune de Koungou,0,,30min,0,6,Oui,Non,oui ,Collège majicavo,Non,Étude supérieur d'architecture ,Oui,Russe,Non,oui,1+1=11 physique>>>>math,
17.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,3h,,2h,1h,5,Oui,Non,Oui,au collège kawéni 2,non,Devenir expert-comptable. Je fais spécialités maths et SES,Non,Chimaoré,Oui,Oui ,Plusieurs. J'aime cette matière car je suis passionné des chiffres,
16.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,2h,,5h,3h,5,Non ,Non,oui ,Collège k1,Non,Je sais pas ,Non,Mahorais ,Oui,Oui,"Oui j aime les statistiques, développement ",
16.0,Lycée de Mamoudzou Nord,Terminale,Commune de Mamoudzou,0,,3h,3h,5,non,non,non,collège de kwalé,non,je souhaite un BTS management et commerce,non ,mahorais,non,non,le theorème de pytagore ,
18.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,1h,,3h,2h,5/10,non ,Non,Non, ,Oui,Sciences de la vie et de la terre/ général ,Non,Comorienne ,Non,Non,Probabilité .... c'est proche de la réalité ,
17.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,2h,,12h,6h,8, non,non,oui,Au collège Kaweni1,oui,"Après le BAC,je souhaites m'orienter vers une licence et si possible un doctorat en médecine",non ,le shindzouani,non,oui,l'exponentielle,
16.0,Lycée des Lumières,Seconde,Commune de Koungou,2h,,2H, 3h,9,oui,Non ,oui, , ,Je veux m'inscrire dans une école de rugby ,non,Le chimaore ,non, ,"Cest pas une questions de aimer la matière le prof explique bien il fait le nécessaire pour que on comprend mais je crois que ce moi qui à un problème, je sais pas trop ce que j'ai avec les maths ",
17.0,Lycée des Lumières,Terminale,Commune de Mamoudzou,2h,,4h,1h,5,oui ,Non,oui,Collège K2,,"Je souhaiterais poursuivre des études de médecine en licence staps accès santé afin de devenir Masso-kinésithérapeute. 
Mes spécialité sont : Maths et SVT.",non,Shimaoré,Oui,oui,"Résoudre une équation. J'aime calculé, c'est tout. ",
18.0,Lycée des Lumières,Terminale STMG,Commune de Koungou,3 h,,9h,4 h,6,oui ,non,non,,non,faire un BTS ,non,mahorais ,oui,non,probabilité,
17.0,Lycée des Lumières,1mcv1,Commune de Pamandzi,4h,,2 h,1h,8/10,,Non,Non,collège de pamandzi,Oui.,BTS MCO ou lycée de sada inchallah,Non ,Shimaore,Non,Non ,Il faut juste joué les intelligence,
17.0,Lycée des Lumières,Première STMG,Commune de Koungou,20min,,1h,,6,oui ,Non ,Non, ,Non ,Gestion finance ,Non ,Maoré ,Oui ,Oui ,Les suites ,
16.0,Lycée des Lumières,Seconde,Commune de Koungou,0,,2h 3h,0,4,oui,Non,Non ,,Non,Bhe aller à l'université ,Non,Le Shimaoré,Oui,Oui,Jai oublier mais on a fait un controle et jai lai reussi ,
16.0,Lycée de Mamoudzou Nord,Première,Commune de Mamoudzou,1h,,35 min ,1h 35,4,Non,Non,Oui,,Non, Mes projet sont allés a l'université en licence si j'ai les qualite requise ou fair un bts,Non,Le chimaorais ou principalement le comorien,oui,Non,La notion de mathématiques que j'aime est l'études de fonction caron est pas forcement d'etre bon en maths il suffit juste d'aprendre la method,
19.0,Lycée des Lumières,BTS,Commune de Dembeni,4H,,2H,3H,4,NON,NON,OUI,,non,BAC PRO Gestion Administratif,oui,le shimaore,oui,Non,les calcules mentales ,
16.0,Lycée de Mamoudzou Nord,Seconde,Commune de Koungou,5h,,5h,5h,5/10,oui,non ,oui, ,oui,science de l ingenieur ,non ,shiamore ,non,oui ,les nouveau chapitre ,
14.0,Lycée des Lumières,Seconde,Commune de Koungou,0,,0,0 ,4,oui,Non,Non,,,Continuer avec des études spécialisé en Numérique.,NON,Shimaoré et Français.,Oui,non,Je ne m'en souvien pas.,
17.0,Lycée des Lumières,Terminale STMG,Commune de Mamoudzou,1h,,3h,2h,5,,Non,Non,Collège kaweni 1,oui,Une formation de droit,Non,Maoré,Oui,Oui,"Les probabilités, le hasard ",
16.0,Lycée de Mamoudzou Nord,Seconde,Commune de Koungou,7h,,0,0,5,oui,Non,Non, ,Non,Mon projet c'est d'intégrer l'école enac pour réussir mon rêve de pilote ,Oui,Français/ maore,Oui,Oui,"Vecteur, mais j'ai toujours des difficulté ",
14.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,1h,,2h,2h,5,oui ,Oui,Non,Collège kaweni 2,Oui ,Allez à l’université pour espérer avoir un diplôme ,Non,Le malgache et le shimaore ,Oui,Oui ,Les statistiques 📊 parce que je trouve sa interre,
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,4h,,2h,4h,5,oui,Oui,Non ,Collège kaweni 1,Non,Je ne sais pas encore ,Non,Le shimaorer,Oui,Oui ,Je ne sais pas trop ,
17.0,Lycée des Lumières,Première,Commune de Mamoudzou,1h,,30 min,3h 30,5.5,oui,Non,Non,Collège Kawéni 1,Oui,Je voudrais en trer dans une IUT puis faire l'école de médecine. Spécialité maths.,Non,Shimaorais et Kibushi,Oui,Oui,"J'ai retenue la leçon sur les multiples de 2,3,4,5 et 10. Mon professeur était âgé et nous aimions l'embêter alors on n'apprenais pas nos leçons pour l'énerver . Du coup, j'ai aimé ce cours.",
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,2h,,2h,3h,1,oui,non,non,Collège kaweni 2,non,je sais pas encore,non,le chimaorais,non,non,deux,
15.0,Lycée des Lumières,Seconde,majicavo / tsingoni,2h,,3h,2h,10,oui,non,oui,Collège de majicavo ,non,ST2S,non,le malgache: chibouchi,oui,Non,j'aime bien les équation et les ensemble car c'est pas compliqué ,
15.0,Lycée des Lumières,Seconde,Commune de Mamoudzou,30 min,,3h,1h,"4,5/10",oui,non,oui,Collège K2 ( kawéni 2),oui ,"une fois le bac obtenu j'aimerais faire le métier de mes rêve qui est sage-femme. donc je vais prendre les spécialité Mathématiques, SVT et Physique Chimie.",oui,ma lange maternelle c'est le Shimaoré et le Français ,oui ,oui ,aucune ,
18.0,Lycée des Lumières,Terminale,Commune de Koungou,7h,,21h,5h,3,non,non,non,Collége majicavo lamir,non,je veux m'orienter dans la chémologie,oui ,le shimaoré,oui,non  ,ce que j'ai retenu et la Trigonometrie sa ne signifie pas que je n'aime pas mais c dur a suivre,
18.0,Lycée des Lumières,BTS,Commune de Mamoudzou,2h,4,4h,3h,5,non ,Non,Non,Collège Kaweni ,Oui,Université de commerce,Oui,Chimaore,Oui,oui,Les formulaires,
17.0,Lycée de Dembéni,Première,Commune de Pamandzi,1h,7,1h,4h,7,Non,Non,Non,,Oui ,"Apres le bac, suivre des études de droits/hggsp,s'est maths pour les spé ",Non,Chimaoré,Non ,Oui ,Les maths je peux les oublier très vite comme je peux men rappelé très vite aussi avec un peu de pratique  voilà pourquoi je les aimes ,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,0,1,10h,0,7,oui,NON,NON,,OUI,DIRECTEMENT CHERCHEZ DU TRAVAIL,Non,MAHORAIS,Oui,Non,LES CALCULES MENTALE,
11.0,Collège de Ouangani,Sixième,Commune de Ouangani,1h,10;9;8,1h,2h,bah 9,oui ,oui,oui,,oui,euh... on va voir sa avec mes parents,n oui,français,oui,oui,des pèrimetre,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,1 h,10,1h,2h,10,Non ,Non,Non,,oui,je sais pas encore,non,kibouchi,oui,oui,les nombres relatifs,
14.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,5,2H,1,8,oui,oui,non,,non,non,non,français,oui,non,addition,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,4h,8,1H,3,9,oui,non,non,,non,je ne sais pas,non,mahoraise,oui,non,se mettre en colère,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,2h,10;9,1h,2h,100,oui,non,non,,non,restauration hoteleriie,non,fraçais,non,oui,je ne sais pas,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,8,2,0,8,oui,non,non,,non,non,non,shimaore,non,non,multiplier,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,2h,7,2h,1h,6,non ,non,oui,,non,je sais pas,non,shimaore,oui,oui,les fraction ,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,1H,10;6;5,4,10,1,oui,NON,OUI,,NON ,sage femme,oui,chimaoré,non,oui,fractions,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,1h,9,1h,1h,satisfsants,,non,oui,,non ,je ne sais pas,oui,chibuchi,oui,oui,les fraction,
15.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,7,1h,10,8,OUI,OUI,NON,,non,militére,non,shimaoré,oui,oui,franctions,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,4,4H,2,4,oui,oui,non,,non,non,non,shimaore,oui,non,je sais pas,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,1 h,7,1 h,1h,4,oui,non,non,,non,non,oui,shimaore,oui,oui,multiplication,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,8,3H,2,7,Oui ,Oui ,oui, ,Non ,foot balleur ,Non ,Shimaore,Oui ,Oui,Multiplication Addition ,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,1h,10,2 h,1h,moyen.,oui,non,non,,NON,NON,NON,francais  et mayotte,non,oui ,Calcule litérale parce que j'adore le faire.,
12.0,Collège de Ouangani,Cinquième,Commune de Ouangani,4h,9,1h,2h,9,oui ,oui,non,,non,je ne sait pas,oui,chi maoré,oui,non,addition,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,2,0,0,1,oui,non,oui, ,oui,pompier,oui,shimaoré,oui,non,fraction,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,15h,9,3 h,0,Moyain,Non,Non,Non,,Non,Non,Non,shimaore,oui,oui,ADDITION,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,3h,8,3h,4h,8,non,non,oui,,oui,non,non,français,oui,oui,les additions ,
11.0,Collège de Ouangani,Cinquième,Commune de Ouangani,1h,10,20 min,50 min,10,oui,non,oui,,oui,je suis en 5éme,non,shimaoré,oui,oui ,addition,
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,2 h,8,3 h,1 h,8,oui,non,non,,NON,NON,NON,Français,non,oui,"scratch, additions, multiplications",
13.0,Collège de Ouangani,Cinquième,Commune de Ouangani,0,8,1H,1H,2,OUI,NON,OUI,,NON,JE NE SAIS PAS,OUI,CHIMAORE,NON,NON,SCRATCH,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,1h,7,3h,1h,5,non,nn,non,college de ouangani,oui,personnelement je sais pas j'y reflechis toujours,non,mahorais,oui,oui,j'aime pas parce que je comprend rien du tout ,
13.0,Collège de Ouangani,Quatrième,Commune de Ouangani,1h,1,0h,0h,fragile,oui,non ,oui,,non ,dileur ,non ,shiboushi,oui ,oui , théorème de pythagore ,
