Age,Etablissement,Classe,Commune de  domicile,Heures_Maths,Auto_eval_Maths,Heures_Sciences,Heures_Francais,Moyenne_Maths,Travail_Parents,Cours_Particuliers,Difficultes_6e,Lieu_Brevet,Changements_Parcours,Projets_BAC,Difficultes_Langue,Langue_Maternelle,Ne_Mayotte,Acces_Internet,Notion_Maths,Expression_Libre
15,Lpo des lumières ,1st2s,Kongou,0,,3,4-5,7,Oui,Non,Non,Collègue Frédéric D'achery,Pas,Mourir,Je ne sais pas,Shimaoré,Non,"Oui, je ne sais plus","Les calculs au second degré, je suis perdue",
19,Lycée des lumières ,Tg3,Mamoudzou ,0h,,2h,2h,1,Policier ,Non ,Non ,Je l’es pas eu ,De professionnelle à général ,Travailler ,Nan ,Français ,Non ,Oui ,Je déteste les maths ,
17,Lycée des lumières ,Terminale générale 2,Mamoudzou ,0h,,0h,2h,"1,58",Ils ne travaillent pas,Non,Non,Collège de kaweni 1,Non,Être professeur de langues,Oui ,Shimaorais ,Oui,Oui et pas trop,J’en connais pas,
17 ans,Lycée Des Lumières ,Terminal  STMG5,Bandraboua ,6 h,,7 heures,2 heures,5,Non il ne travail pas,Non,Non,Au collège K2,Non,BTS Gestion de la PME,Non,Le Shimaore,Oui,4 devoir,Les ,
18 ans,Lycée des lumières,Terminale générale 8,Mamoudzou,00h,,2h,10h,2,Ma mère ne travaille pas et mon père est mort.,Non,Je ne sais pas je crois math,Au collège de K1,Non ,J'aimerais faire un BTS ou diplôme d'état pour être assistante sociale dans le public ou privé.,Non,Le chimaoré,Oui,Non,Rien,
17 ans ,Lycée des lumières ,202,Koungou ,1h,,1h,1h ,5,Femme de ménage ,Non,Nn,Au collège de Koungou ,Oui,Je ne sais pas ,Nn,Chimaorai,Nn,Je ne sais pas ,Aucun ,
17 ans ,Lycée des lumières mamoudzou nord ,1 std2a,Koungou,1 h,,0,0,3,Oui ils travaillent . Mon père garagiste et ma mère déclarente en douan,Non,Oui en français et anglais ,Oui je l’est eu ,Oui je suis passé de général à technologie,Après le bac je compte faire un DNMADE bijouterie en France . J’ai la spécialité art appliqué ,Un peu peut être ,Le créole réunionnais ,Oui,Oui . Je ne sais pas ,J’en ai aucune ,
15 ans,Lycée des Lumières,211,Koungou,1 h,,1 heure,2 heures,4,Oui. Animateur Territorial,Non.,Non.,Au collège de Koungou.,Non.,Je ne sais pas encore.,"Oui, un peu",Le Shimaoré,Oui,Oui. Peu,C'est trop compliquée,
16 ans,Lycée des Lumières,1 STMG3,MAmoudzou,5h,,Oh,2h,9,Mes parents ne travaillent pas,Non,Non,En classe se 3ème au Collège kaweni 2,Non,Mon projet obtenu une fous après le BAC c'est de continuer mes études. Mon option est le bac technologie,Non,Mahorais,Oui,"Oui, ça dépend du devoir",Ce qui fait que j'aime les mathématique c'est les chiffres et mes notes,
16,Lycée des lumières ,216,Mamoudzou,5h,,1h30,4h,2,Carrossier ,Non,Non,Collège kaweni 2,Non,J'ai pas encore de projet ,Non,Malgache ,Non,Oui,C'est trop dure ,
18,Lycée des Lumieres Mamoudzou Nord,Terminal,Koungou,3min,,0,2,3,un des parents ne travail pas l'autre est Masson,non,non pas trop de difficulté,aux Comores ,oui arrivé en 5è du collège jai eu des difficultés dans plusieurs matières comme le Français  ,faire un BTS,non,le comorien,oui,"oui , 4/5 exercices nécessite internette",je n'en ai pas en particulier ,
19,Mamoudzou nord,T OTM,Koungou ,1H,,Je fais pas de sciences ,Environ 30min,7,Non,Non,Oui anglais ,Oui,Oui je suis devenu intello 😂😂😂,Bac pro transport. Je continue mes études ,Oui,Le chimahore,Oui,La majorité je n'est pas ,Les suit numérique ,
15,Lycée de lumières mayotte ,213,Kaweni,0,,3,6,6,Non,Non,Non,Collège kaweni 1,Non,"Ma spécialité :histoire &géo, sciences politiques. Allez à la fac",Non,"Swahili, (je parle un peu le lingala)",Non,Non,Les équations  . C'est facile à comprendre ,
20,Lycée de lumières kaweni ,Terminale général pouvoir suivre des etu,Koungou ,1h,,1h,2h presque ,2,Seul mon tuteur qui travaille dans une société d'aménagement et de travaux ,Non,Non,Je obtenus mon brève aux collèges Frédéric d'achery koungou ,Oui depuis en classe de première mon niveau de travail à chuter et deviens de plus à plus inquiétant ,"Pouvoir suivre des études et aller jusqu'à ouvrir mon propre cabinet d'assistant social , je comme spécialites HGGSP et SES et opt",Non ,Langues mahoraise,Non,"Oui ,plusieurs ",Aucune je pense que c'est peut-être la raison qui fait que j'aime pas les mathématiques ,
17,LPO des lumières,Première ,Koungou,2h,,Plus de 30 minutes ,3-4h,3,Non,Non,"Oui, les sciences physique chimie et les maths",En France,"Oui, les devoirs ont augmentés de plus en plus et deviennent de plus en plus dur.",Aller dans une école spécialisée (spé: hggsp et nsi),non même pas ,le mahorais,non,"oui, 3 ou 4","Les formules, a cause du prof (c'est pas que j'aime pas, c'est que je ne COMPREND pas)",
17 ans,Lycée des Lumières ,TG1,Koungou,2h,,4h,8h,4,Agriculteurs,Non,"Non, ",Koungou,"Ma moyenne était entre 15.25 à 17.50 au collège, maintenant elle est de 12.53 à 14.76, je suis déçu. Tout ça par ces conditions de vies. Je ne sais pas pourquoi vous interrogez lorsque vous n'apportez pas de solutions à nos problèmes. Est ce que nos réponses c'est pour faire jolies ?",Je veux être architecte moderne. J'étudierai en métropole.,"Mes difficultés en maths sont liées aux conditions de vie, je souffre pour relire au moins ma leçon hein. Je me sens mal de voir que même les exercices que nous faisons en classe, je ne peux les refaire pour ça. Je viens souvent en cours sans réviser, j'ai des pensées de suicides parfois man. Je ne fais quasiment rien dans la matière, je révise souvent à la dernière minuite, vous ne comprendrez pas. De toute façon, personne n'a jamais compris.",Anjouanais,Non,Accès à internet. Plus toutes les matières ont besoin d'une connexion.,"La logiques des démonstrations, c'est siimple mais pour l'être il faut travailler d'avantage.",
15,lycée des lumières,216,Mamoudzou,1h,,2h,1h30,5,Oui agent d'entretien et agent de sécurité privé,non,Svt,Collège,Oui,St2s,Non,Shimaore,Oui,Oui; 4,Multiplication,
18,Lycée des Lumières ,Terminal général ,Tsingoni,0,,Jamais ,Tout le temps ,4,Non,Non,"Oui, histoire géographie et physique chimie ",Collège de Koungou,Pas vraiment ,Continuer mes études faire au moins une licence en art ,Peut être ,Langue comorienne ( Anjouan ),Non,"Non, la majorité ",Aucune ,
154 ans ,lycée des lumières ,seconde ,Koungou ,3 h,,4à5heure ,1h30,9.50,mon père travaille en tant qu'agent de sécurité ,non,"oui , en anglais ",au collège de majicavo ( mayotte ) ,"oui , les statistique ainsi que les exercices qui sont un peu plus élevé mais ça va ",série générale ST2S : sciences santé et sociale  ,non ,le malgache ,"oui , à Mtsamboro ","oui j'ai internet , math , physique-chimie , sciences ","les méthose , ainsi que les différents chapitre que j'aime trop",
17,LPO-DES LUMIERES-MAMOUDZOU,1 agora,mamoudzou,2 h,,0,0,5,non,non,non,j'ai déjà mon brevet,oui j'ai un peu évoluer en math,bts sam,uii un peu,chimaorai,uiii,non je sais pas,les suite numérique ,
18,Lycée des Lumières ,TG1,Koungou ,0,,2 heures ,Tous les jours ,5,Aucun ,Non,Non,Au collège de koungou ,Non aucun,Après le Baccalauréat j'aimerais m'orienter vers la comptabilité et gestion des entreprises.  Spécialité sciences de la vie et de la Terre et spécialité Théâtre ,"Non , je pense qu'elle est liée à mon manque de confiance et de concentration ",C'est le shimaoré,Oui,Oui . Je n'en ai aucune idée car je n'ai jamais mais attention a cela ,Je ne peux répondre a cette question ,
15ans,Lycée lumière,Seconde,Kaweni,5min,,5min,Pas du tout,6,Ne travaille pas,Non,Non pas du tout ,Bien attendu,Oui j'ai eu une amélioration,Je sais pas encore,Non,Mahorais,Non,"Non,je sais pas",Les équations parce que c'est facile,
16ans,LPO des lumière ,210,kaweni,1h,,30 min,2heur,6,Non,Non,Non,collège Kaweni 1,Non, bac pro Accueil,Non,malgache et comorien ,Non,3,probabilité ,
17,Lycée de lumières ,1er stmg4,9 rue zena m'dere,2h,,3h,2h,10,Rien,Oui ,Un peu ,Oui,Oui,Management  science de gestion économie ,Nn ,Maore,Oui ,Nn pas de connexion ,Le notion arthimetique ,
16 ans,Lycée des Lumières,2nde,Koungou,3H,,environ 4h,1h,"8 , pourrait être perfectionné , mais fonctionne ","Oui , cadre de santé et professeur au Lycée","Non , je n'en ressens pas le besoin pour l'instant",Non,Au collège de Majicavo Lamir,"Pas vraiment , mise à part une petite baisse de la moyenne générale",Je ne me suis pas encore réellement décidé,"Absolument pas , plutôt des étourderies",le Français,"Non , mais j'y suis depuis mes premiers pas","Oui , je ne saurais pas dire , mais internet facilite grandement la documentation","Les équations , elles sont satisfaisantes et exploitent plus la réflexion que les connaissances",
16,Lycée des lumières ,109,Konkou,1h,,2h00,1h30,"4,5","Oui , je ne sait pas ",Non ,"Oui.Mathématiques, physique chimie ",Mon brevet je l'ai eu au collège de Majicavo,Non. Rien ,Mon projet après le bac et de partir en école de gendarmes ,Non. Liée en manque de compréhension ,Français ,Oui ,"Oui j'ai accès à internet, anglais et espagnol."," j'aime La trigonométrie,parce que c facile et j'ai compris vite  ",
16 ans,Lycée des lumières ,212,Kaweni,6h,,2h,4h,7,Oui mes parents travaillent.Ma mère est enseignante et mon père marin pêcheur ,Oui,"Oui,en français ",J'ai obtenue mon brevet au collège kaweni 2,Oui j'ai eu beaucoup dans changement comme certaines matières que j'ai remplacé ,Une fois le bac en poche j'aimerais devenir contrôleur aérienne ou bien ostéopathe qui sont tous deux des metiers opposer. ,Nn pas vraiment ce sont surtout les explications du professeur qui ne sont pas très fluide.,"Le malgache , l'anjouanais,le maoré et le créole ",Oui,Oui  j'ai un accès à internet et la majorité de mes devoirs nécessitent internet.,La nation de mathématiques que j'aime est l'arithmétique et l'algèbre car j'aime beaucoup faire des calculs,
15,Lycee des LUMIERES,205,Koungou,1h,,1h30,jamais,5,Non,non,nn,college majicavo lamir,nn,lisence et master,nn,Maorai,oui,nn plusieurs,jesais pas,
15,Lycée des lumières ,212,Koungou,0,,30min,Oh,6,"Oui, prof et commerçante",Non,Le français ,Collège majicavo,Non,Étude supérieur d'architecture ,Oui,Russe,Non,"Oui, beaucoup trop",1+1=11 physique>>>>math,
17,Lycée des Lumières,TG5,Mamoudzou,3h,,1h à 2h,1h,5,Ma mère travaille en tant que femme de ménage et mon père travaille dans le domaine du sécurité privée,Non,"Oui, en Français","J'ai eu mon Brevet en 3ème, au collège kawéni 2",Pas de changement,Devenir expert-comptable. Je fais spécialités maths et SES,Non,Chimaoré,Oui,Oui j'ai accès à Internet. Plusieurs types de devoir nécessitent une connexion Internet.,Plusieurs. J'aime cette matière car je suis passionné des chiffres,
16,Lycée des lumières ,211,Mamoudzou ,2h,,5h,3h,5,Non ils ne travaillent pas ,Non,Anglais ,Collège k1,Non,Je sais pas ,Non,Mahorais ,Oui,Oui et beaucoup ,"Oui j aime les statistiques, développement ",
16,mamoudzou nord,TG7,mamoudzou,0,,3h près,3h,5,pas de travaille,non,non,collège de kwalé,non,je souhaite un BTS management et commerce,non je ne pense pas,mahorais,non,je n'ai pas de connexion internete a la maison,le theorème de pytagore ,
18 ans,Lycée des lumières ,TG6,Mamoudzou ,1h,,3h,2h,5/10,Pas de travail ,Non,Non,À Mayotte ,Oui,Sciences de la vie et de la terre/ général ,Non,Comorienne ,Non,Non / plusieurs ,Probabilité .... c'est proche de la réalité ,
17ans,Lycée des Lumières,Terminale7,Mamoudzou,2h,,plus de 12h,plus de 6h,8, malheureusement non,"non,je révise seule",oui un peu dans les langues,Au collège Kaweni1,"oui,compréhension de notions non comprises avant","Après le BAC,je souhaites m'orienter vers une licence et si possible un doctorat en médecine",non je ne pense pas,le shindzouani,non,"oui ,environ une dizaine",l'exponentielle,
16,Lpo lycée des lumières ,208,Koungou ,2h,,2,2 a 3h,9,Ma elle travail a la crèche ,Non ,"Non, maths ",Oui ,Pas compris ,Je veux m'inscrire dans une école de rugby ,"Non,Je que des difficultés en maths ",Le chimaore ,"Non,mais j'aurais aimer ",La moitiés des matières physique chimie ,"Cest pas une questions de aimer la matière le prof explique bien il fait le nécessaire pour que on comprend mais je crois que ce moi qui à un problème, je sais pas trop ce que j'ai avec les maths ",
17ans ,Lycée des Lumières ,TG5,Mamoudzou ,2h,,4h,1h,5,Femme de ménage ,Non,Anglais et histoir géo ,Collège K2,"Oui, devenir professeur d'école élémentaire..","Je souhaiterais poursuivre des études de médecine en licence staps accès santé afin de devenir Masso-kinésithérapeute. 
Mes spécialité sont : Maths et SVT.","Non, je pense pas enfin je sais pas trop. ",Shimaoré,Oui,"Oui,jai accès à internet. 2, 3 devoirs même plus ","Résoudre une équation. J'aime calculé, c'est tout. ",
18,lycées des lumieres,T STMG,Koungou,3 h,,9heures,4 heures,6,mère aux foyer ,non,non,oui,non,faire un BTS ,non,mahorais ,oui,non,probabilité,
17 ans,Lycée des lumières,1mcv1,Pamandzi,4h,,2 h,1h,8/10,Rien,Non,Non,Oui au collège de pamandzi,Oui j suis améliorer mes connaissances.,BTS MCO ou lycée de sada inchallah,Non ,Shimaore,Non,Non j'ai pas de connexion chez moi.,Il faut juste joué les intelligence,
17ans ,Lycée des lumières ,1stmg4,Koungou,20min,,1h,Toute la soirée et la nuit ,6,Ma mère et femme au foyer mon père et médiateur ,Non ,Nn nn ,Oui ,Non ,Gestion finance ,Non ,Maoré ,Oui ,Oui tout mes devoir nécessite internet ,Les suites ,
16,Lycée  des lumières ,215,Koungou,0,,2h ou 3h,0,4,Mon pere travail ,Non,Non ,Jai eu mon brevet avec mention  bien,Non,Bhe aller à l'université ,Non,Le Shimaoré,Oui a Mamoudzou ,Oui,Jai oublier mais on a fait un controle et jai lai reussi ,
16ans,lycéemamoudzou nord,101,mtsapéré,1h,,35mn,1h et 35mun ,4,Non ils sont au chomage,Non,Oui en espagnol et en anglais,OUI,Non, Mes projet sont allés a l'université en licence si j'ai les qualite requise ou fair un bts,Non,Le chimaorais ou principalement le comorien,oui,"Non j'ai pas d'accèes internet chez moi ,6 devoir sur 10 nécessitaient une connexion",La notion de mathématiques que j'aime est l'études de fonction caron est pas forcement d'etre bon en maths il suffit juste d'aprendre la method,
19,Lycée des Lumières,BTS GPME1,DEMBENI,4H,,2H,3H,4,NON,NON,"OUI, mathématiques",oui,non,BAC PRO Gestion Administratif,oui,le shimaore,oui,NON,les calcules mentales ,
16,lycee mdz nord,213,koungou ,5h,,5h,5h,5/10,imprimeri,non ,physique chimi,je l ai deja ,un peu ,science de l ingenieur ,non cest liee a la comprension,shiamore ,non,oui 2 max ,les nouveau chapitre ,
14ans et 17 mois,LPO des Lumières,206,Koungou,0,,0.15,0.01,4,"Mes parents travaillent : l'un est Livreur, l'autre est gardien de sécurité.",Non,Non,Oui,Je ne sais pas.,Continuer avec des études spécialisé en Numérique.,NON,Shimaoré et Français.,Oui.,Je n'ai pas accé à internét à la maison,Je ne m'en souvien pas.,
